country_name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,average_expenditure_per_capita,rating_by_capita
Botswana,200.98800659,197.28829956,200.33074951,262.04077148,288.94662476,273.51931763,250.76968384,296.56552124,315.27059937,326.95220947,378.646698,415.58108521,405.96008301,418.32351685,402.45758057,358.22320557,369.84204102,444.55603027,419.6545105,408.89602661,358.90551758,457.46298218,338.6900482190909,Low
Central African Republic,9.8634491,9.26134109,10.61978436,13.00553608,13.72547722,14.66589355,15.91440105,18.94978714,18.67624855,21.82637405,16.40023994,18.9371357,20.60425186,16.78926849,18.02748299,17.71483231,20.25914001,27.64416504,49.17564392,33.9444313,40.11012268,42.92785645,21.32013013090909,Low
Canada,2001.66870117,2055.75952148,2149.37939453,2552.26391602,2916.2512207,3291.22070313,3788.68603516,4221.92871094,4491.22900391,4368.85693359,5083.98193359,5423.05908203,5538.93554688,5483.25585938,5231.73632813,4677.83007813,4667.703125,4920.72851563,5080.32324219,5115.97607422,5668.34765625,6470.06787109,4327.235884234091,Very High
Central Europe and the Baltics,221.224175736256,252.295482867746,298.315614304424,373.184430884647,447.015349847178,523.00554954198,580.296999114868,729.665251390561,927.845319152984,842.69526899739,869.706933127359,921.115989890306,864.227437177729,910.782119856685,931.248385212373,815.75164395152,852.665650806526,939.030372410938,1053.68181948028,1090.03601963322,1182.08647321946,1389.88307405298,773.4436073026096,Moderate
Switzerland,3559.81982422,3763.38452148,4211.72949219,5018.52734375,5608.703125,5673.93994141,5671.98144531,6154.703125,7120.65283203,7297.37988281,7640.44921875,9138.3671875,8753.8203125,9118.18945313,9307.96875,9082.45019531,9078.75878906,9119.96972656,9212.43261719,9341.0625,10085.45605469,10897.45019531,7493.508933327272,Very High
Chile,356.74414063,326.96624756,322.87408447,349.77902222,427.43676758,500.87451172,571.89831543,649.92242432,726.73669434,738.284729,870.70959473,994.66607666,1081.46069336,1183.62084961,1150.06164551,1133.27978516,1179.73364258,1367.71643066,1457.27282715,1369.48400879,1280.63232422,1518.04003906,889.0088570345456,Moderate
China,42.99362183,44.56903839,50.15548325,56.79228973,64.54340363,73.29019928,82.79460144,98.87766266,134.2076416,165.29444885,189.34370422,239.7543335,285.31427002,329.78106689,363.00939941,393.77990723,398.78921509,440.58850098,504.79974365,539.6194458,583.43218994,670.5145874,261.4656706722727,Low
Cote d'Ivoire,54.16062546,54.03316116,57.24786377,64.14105988,67.6804657,62.34985352,60.48682404,64.6838913,75.87518311,72.83110809,71.98825836,72.44979095,74.48454285,71.52493286,79.31149292,62.51667023,66.39353943,68.61872864,70.97071075,73.64801788,85.17427826,81.86914825,68.74727942772728,Low
Cameroon,28.79333305,27.46539497,31.41914558,38.10652161,41.7527771,42.60778809,44.01630783,48.61966705,53.99885559,50.604702,49.50485611,57.71255493,56.3600235,56.61405563,61.80369186,50.31904221,51.2496109,50.27867889,57.7002182,56.18640518,58.0969696,63.78601837,48.95439173863636,Low
"Congo, Dem. Rep.",18.20225716,5.65382099,4.34459352,6.27501249,8.14487171,8.88715935,10.77356529,11.98260307,15.89509487,13.18276978,12.53950882,12.27988434,13.62572193,15.86667633,18.79024887,19.13417244,19.91032028,18.74936485,17.87852287,19.85771751,21.25385666,22.32123756,14.343135485909091,Low
"Congo, Rep.",17.44675827,20.41893959,17.09034348,21.64731407,27.67554474,31.10122681,36.16910553,42.22277832,63.7890892,48.9272995,54.86231995,59.84463501,71.6878891,72.29035187,71.47676086,57.67850113,54.67388153,52.68054199,47.67589569,58.90272522,80.80835724,80.5149231,49.52659919090909,Low
Colombia,134.28443909,138.02864075,131.76092529,129.33969116,159.20832825,209.22647095,239.64555359,309.1078186,378.67913818,383.54962158,452.0512085,501.29830933,546.21148682,579.87963867,586.87640381,468.60543823,447.06994629,495.27026367,517.15844727,500.73138428,462.2328186,557.53948975,378.5343392118182,Low
Comoros,47.50006104,45.25306702,51.05594635,63.81992722,70.50469971,67.78135681,65.70906067,69.87508392,73.73594666,69.42589569,69.0898819,80.95452881,76.77297974,81.4433136,84.27106476,60.86703491,63.14864731,74.52148438,74.43584442,77.80075073,88.67053223,99.03723907,70.71247031590907,Low
Cabo Verde,58.89910889,62.78510284,68.21862793,83.48031616,92.04717255,94.58552551,111.28134918,125.57421875,125.53510284,127.79914856,142.87771606,152.28347778,167.49281311,181.29548645,181.44195557,139.48536682,144.32522583,165.03762817,178.77836609,171.77171326,196.26963806,247.90794373,137.2351365518182,Low
Costa Rica,247.70188904,255.18231201,276.23712158,287.37347412,290.13354492,309.51428223,359.79248047,423.63812256,510.99154663,529.60870361,654.17340088,742.14190674,776.43487549,816.87872314,822.91003418,875.34973145,870.73840332,853.75048828,902.22119141,914.88470459,953.08251953,948.92163086,619.1664130472728,Moderate
Caribbean small states,251.841794591943,246.717866494717,265.022892833066,271.261716399827,309.600512761142,342.946354585486,367.448036744496,426.101403090216,469.743227535052,457.296594900138,482.118590136281,503.823844807622,516.837905663904,533.994407828709,546.500863359973,571.67788750148,570.208994996453,611.881569854339,620.11172604316,643.557691303168,624.617012855939,673.483897164951,468.49067233873006,Low
Cuba,181.14724731,198.5879364,213.95626831,227.69859314,232.50595093,331.98812866,387.44146729,570.31433105,610.09155273,676.22460938,608.96154785,695.99157715,601.42425537,710.793396,864.15557861,985.41900635,984.24865723,980.09216309,973.13745117,1013.10137939,1186.15649414,,630.1636948357142,Moderate
Cyprus,751.0,782.0,890.0,1145.0,1287.0,1366.0,1474.0,1694.0,2155.0,2105.0,2045.0,2115.0,1899.0,1916.0,1874.0,1596.0,1649.0,1773.0,2021.0,2093.0,2362.0,2990.0,1726.4545454545455,Very High
Czechia,342.92108154,388.54403687,497.74203491,640.66040039,746.32891846,852.65246582,942.11804199,1110.17663574,1449.33679199,1442.24279785,1516.04858398,1654.51013184,1515.81604004,1514.01403809,1516.05627441,1314.83728027,1384.66357422,1525.34790039,1753.19897461,1803.05249023,2119.26831055,2498.51660156,1296.7297002613636,High
Germany,2344.41088867,2346.66918945,2567.50292969,3152.79418945,3459.82495117,3558.21337891,3698.04370117,4182.91601563,4669.76025391,4674.91943359,4611.421875,5037.49169922,4765.67871094,5100.15234375,5309.15478516,4627.35791016,4746.87011719,5070.19580078,5511.21435547,5486.98876953,5936.25146484,6626.00488281,4431.083529385909,Very High
Djibouti,35.74236679,33.86995316,39.82229614,46.68310547,40.42881012,45.57660675,53.81796265,55.77771378,56.53337097,57.57979965,56.37421417,62.67469025,65.69985962,61.38714981,66.44046021,80.65351105,69.79541779,65.55883026,64.47797394,62.30675125,62.75099945,87.74766541,57.80452312227274,Low
Dominica,259.646698,231.98364258,227.21820068,243.10256958,253.98324585,263.89520264,271.49783325,293.61825562,336.35327148,354.44778442,370.31329346,388.87130737,408.77490234,387.08288574,394.67294312,398.52124023,421.32177734,404.60903931,484.5222168,442.51159668,420.02459717,482.42965698,351.7910073018182,Low
Denmark,2496.0,2603.0,2896.0,3607.0,4195.0,4443.0,4779.0,5468.0,6138.0,6222.0,6171.0,6438.0,6168.0,6334.0,6467.0,5532.0,5624.0,5834.0,6233.0,6059.0,6442.0,7382.0,5342.318181818182,Very High
Dominican Republic,138.99897766,144.17262268,153.85899353,105.31115723,105.84014893,169.96865845,162.94297791,191.22145081,230.50578308,238.2713623,271.26663208,295.19439697,305.4364624,303.37979126,313.45751953,322.94607544,329.10879517,337.60925293,327.90109253,346.50790405,354.09362793,416.89974976,252.94970148318188,Low
Algeria,62.11769485,67.33850098,66.94760132,76.23547363,93.02433014,101.30373383,117.43313599,151.77920532,207.84881592,208.93501282,230.06391907,288.31332397,336.67266846,333.16027832,361.15942383,292.275177,261.40023804,265.83843994,266.46469116,235.99041748,206.03512573,204.56661987,201.58653762136362,Low
East Asia & Pacific (excluding high income),38.5630409328914,39.7145643601814,44.2779477187918,50.5630654176217,56.8755765828213,65.3191737946668,74.9108929575795,89.5855230526441,117.06168481499,139.088141628916,161.034154769676,201.154563034705,234.533879963632,265.074353948716,288.750424929967,308.664419164574,313.931148303987,344.214907725207,390.167527222729,416.373372954052,448.011551446494,515.73787179419,209.25489938722876,Low
Early-demographic dividend,63.3916793289433,64.4023330618659,58.9110088855459,66.1157912548735,74.6584826902808,85.0347991726708,93.9322610718139,108.914493922558,120.289111849725,120.611942511395,138.334871796526,154.269032413241,160.873066644214,167.204137045604,166.51164348142,164.897187730755,162.870035871866,168.371148588703,167.363891868308,165.97481685514,167.218774684571,190.769707519947,128.6781917386349,Low
East Asia & Pacific,240.547425461329,223.467445330134,225.084345693014,252.527139477453,279.141926723648,293.297122845222,299.054649914686,323.183354313377,376.160087771742,421.609572542239,480.046480475231,589.672260757586,628.568180539981,604.753536078152,619.242215229606,605.82022957198,639.374867840748,671.987062580388,727.411250228723,759.598554663175,792.772733778861,876.015627112137,496.78800313315514,Low
Europe & Central Asia (excluding high income),91.1477790121256,96.3894913247767,114.88522347153,141.749300703888,179.784126829637,226.258395176635,277.582457945604,350.885742091693,436.862992338249,377.405757517228,412.047581523382,468.491565584991,505.629667314423,536.412661796313,497.901522698812,374.990132710998,359.963687192343,403.096740642616,411.04171088183,436.226702201737,491.165773803694,590.259419785297,353.64447420671826,Low
Europe & Central Asia,937.493876189691,965.946711442823,1088.07795490002,1354.45493741281,1571.32365890277,1663.64515685597,1785.63041095472,2049.90067833057,2298.95243744055,2206.61112273181,2192.52348857261,2374.20517496538,2276.97686583751,2378.21987255898,2426.55472138606,2100.39898720592,2092.49420173097,2189.21697999183,2342.27755169237,2331.77293465434,2523.71290303998,2870.09121213897,2000.9309926789392,Very High
Ecuador,48.37698364,71.55696869,97.7811203,132.74375916,150.58769226,168.72697449,190.63995361,194.37643433,232.87501526,245.95539856,288.67254639,342.3848877,389.75610352,416.34295654,435.51330566,466.23751831,450.82925415,470.80328369,494.71490479,484.36807251,471.87576294,494.30838013,306.33760348318185,Low
